itemId,category_name,category_id,title,paperId,rating,content,author,authorUrl,reviewUrl,date,recommendationCount,commentCount,isOrderer
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,13986913,5.0,중고 구매했는데 포장도 뜯지 않은 새책이 와서 좋았어요. 잘 읽겠습니다!,Euph,https://blog.aladin.co.kr/790866275,https://blog.aladin.co.kr/790866275/13986913,2022-10-05,1,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,16599914,5.0,"중고로 샀는데 새책으로 반값이라니,,진짜 유용하게 잘 쓸게요",nmdrsgy,https://blog.aladin.co.kr/770959245,https://blog.aladin.co.kr/770959245/16599914,2025-07-17,1,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,15415578,5.0,딸래미가 볼 책인데 도 비닐도 뜯지 않은 책을 받았습니다. 좀 비싸서 깨끗한 중고 보라고하고 주문했는데. 딸래미가 좋아하네요. 감사합니다.,오리대장,https://blog.aladin.co.kr/707267126,https://blog.aladin.co.kr/707267126/15415578,2024-03-27,1,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,14887126,5.0,중고를 샀는데 새책이 왔어요,wmfwmf5254,https://blog.aladin.co.kr/706988140,https://blog.aladin.co.kr/706988140/14887126,2023-09-05,0,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,15636640,5.0,"배송 당일 바로 해주셔서 다음날 바로 도착
새 책이 왔습니다, 감사합니다",seoyeonq3,https://blog.aladin.co.kr/739620268,https://blog.aladin.co.kr/739620268/15636640,2024-06-23,0,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,14573580,5.0,책2권 샀는데 둘다 깨끗한 새책이에요.원가 비싸서 고민많이했는데 앞으로도 중고로 구매할거같아요 정말 감사합니다. 잘쓰겠습니다!,김현희,https://blog.aladin.co.kr/729148142,https://blog.aladin.co.kr/729148142/14573580,2023-05-09,0,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,15324190,5.0,배송도 하루만에 오고 그냥 새책이에요! 새책인데 반값이라니 너무 좋아요~~ 완전 만족합니다,rowa0309,https://blog.aladin.co.kr/704946251,https://blog.aladin.co.kr/704946251/15324190,2024-02-22,0,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,14891508,5.0,"미쳤다… 새책을 거의 반값에 팜.. 책 상태 완전 좋아요
포장도 안뜯은 새책임…omg 믿고사세요",rayoung1223,https://blog.aladin.co.kr/715164227,https://blog.aladin.co.kr/715164227/14891508,2023-09-07,0,0,False
270313517,예술/대중문화,517,최신 기법의 아나토미@ : 조형.회화.애니메이션 창작을 위한 인체 해부도감 - 개정판,14425428,5.0,"전부터 비싼 가격에 덥썩 구매하지 못한 책인데 저렴한 가격에 구매할 수 있어서 무척 기쁩니다. 비닐로 포장되어 거의 새책이고, 겉표지에 약간의 세로줄 무늬이 있지만 거의 티가 안납니다. 감사히 보겠습니다.",rladustns50,https://blog.aladin.co.kr/747826290,https://blog.aladin.co.kr/747826290/14425428,2023-03-14,0,0,False
7781783,예술/대중문화,517,스즈키 첼로 교본 4 - 개정판,6936621,5.0,이 책을 배우니 진짜 이제 첼로를 연주한다는 느낌이 듭니다. 브레발의 소나타부터 시작해서 바하의 무반주 첼로연주곡까지! 그리 어렵지 않지만 아름다운 곡들이 많네요. 씨디는 차에서 듣기도 좋고 연주에도 엄청나게 도움이 됩니다.,보물창고,https://blog.aladin.co.kr/740018146,https://blog.aladin.co.kr/740018146/6936621,2014-03-11,1,0,False
7781783,예술/대중문화,517,스즈키 첼로 교본 4 - 개정판,7046004,4.0,"브레발 소나타, 바흐 무반주 첼로 모음곡 등이 수록돼 있다. 본격적으로 ｀곡 연주｀에 돌입하는 셈이다. 취미 첼로 연주자들, 모두 화이팅!",풀보210,https://blog.aladin.co.kr/753058180,https://blog.aladin.co.kr/753058180/7046004,2014-06-20,1,0,False
7781783,예술/대중문화,517,스즈키 첼로 교본 4 - 개정판,6513759,5.0,"스즈키4권, 지금부터가 진짜 연주하는 곡입니다. 3권과 4권의 수준 차이가 큰 것 같지만 뿌듯합니다.",릴라,https://blog.aladin.co.kr/716295139,https://blog.aladin.co.kr/716295139/6513759,2013-08-08,1,0,False
