category_name,category_id,rank_in_category,itemId,title,author,publisher,pubDate,isbn,isbn13,priceSales,priceStandard,salesPoint,customerReviewRank,bestSellerRank,link,cover,description,fetched_at
어린이,1108,153,345761075,언제나 다정 죽집 - 2024년 제30회 황금도깨비상 수상작,"우신영 (지은이), 서영 (그림)",비룡소,2024-08-28,8949122073,9788949122076,13500,15000,14440,10,153,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345761075&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/34576/10/coversum/8949122073_2.jpg,"우신영의 동화 『언제나 다정 죽집』은 다정함이 다정함으로 돌아오는 마법 같은 순환을 보여 주며, 사라질 위기에 처한 오래된 죽집을 지키려는 부엌 도구들의 귀엽고 생기발랄한 활약이 돋보이는 이야기다. “극한 대립을 강조하는 최근의 응모작들 속에서 아동문학이 잃었던 감성을 지켜낸 작품”으로 평가받으며, 2024년 제30회 황금도깨비상을 수상했다.",2026-08-13T15:12:05+09:00
어린이,1108,154,352900075,처음 읽는 삼국지 1 - 영웅과의 만남,"이문열 (지은이), 한현동 (원작), 윤종문 (구성)",미래엔아이세움,2024-11-26,K072934653,9791173111402,15120,16800,12217,10,154,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=352900075&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/35290/0/coversum/k072934653_1.jpg,"삼국지를 처음 접하는 어린이들을 위해, 흥미롭고 재미있는 만화와 풍성하고 친절한 설명을 넣어 탄생한 인문학 시리즈이다. 특히 우리나라의 소설가 ‘이문열’ 선생님이 재해석하고 번역한 ≪삼국지≫를 바탕으로, 생동감 넘치는 그림과 글로 구성되어 있다.",2026-08-13T15:12:05+09:00
어린이,1108,155,392922768,죽은나무숲의 죽다 만 여우 - 2026 뉴베리 아너 수상작,"오브리 하트먼 (지은이), 마르친 미노르 (그림), 황세림 (옮긴이)",위즈덤하우스,2026-05-13,K472138602,9791175910591,17550,19500,9145,10,155,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392922768&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39292/27/coversum/k472138602_2.jpg,2026년 뉴베리상 수상작 중 가장 먼저 한국 독자들을 만나는 《죽은나무숲의 죽다 만 여우》(The Undead Fox of Deadwood Forest)는 출간 직후 미국 내 주요 도서관과 평단으로부터 ‘최고의 책’으로 선정되며 압도적인 찬사를 받은 작품이다.,2026-08-13T15:12:05+09:00
어린이,1108,156,270457397,10대를 위한 사피엔스 - 한 번에 정리하는 인류 문명의 역사,"벵트 에릭 엥홀름 (지은이), 요나 비에른셰르나 (그림), 김아영 (옮긴이)",미래엔아이세움,2021-04-29,K862731787,9791164135653,13500,15000,9145,10,156,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270457397&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/27045/73/coversum/k862731787_2.jpg,"멀고 먼 인류의 탄생부터 인공 지능 시대까지, 끊임없이 진화한 인류의 역사를 10대들도 쉽고 재미있게 읽을 수 있도록 정리하였다. 마치 중학생 언니, 오빠가 동생에게 설명해 주듯 어려운 개념도 쉽고 간결하게 풀어냈다.",2026-08-13T15:12:05+09:00
어린이,1108,157,388079523,양배추를 응원해 주세요 - 제30회 창비 ‘좋은 어린이책’ 원고 공모 대상 수상작(저학년),"온선영 (지은이), 홍주연 (그림)",창비,2026-03-13,8936451685,9788936451684,11520,12800,8783,10,157,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388079523&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/38807/95/coversum/8936451685_1.jpg,"『고양이 해결사 깜냥』 『나는 3학년 2반 7번 애벌레』 등 보물 같은 작품들을 발굴하며 지난 30년간 한국 어린이책의 이정표를 세워 온 창비 '좋은 어린이책' 원고 공모의 제30회 저학년 부문 대상 수상작. 어느 날 갑자기 양배추로 변해 버린 어린이의 하루를 따라가는 난센스 동화로, 첫 장부터 독자를 즐거운 연둣빛 소동 속으로 이끈다.",2026-08-13T15:12:05+09:00
어린이,1108,158,2850921,멀쩡한 이유정,"유은실 (지은이), 변영미 (그림)",푸른숲주니어,2008-11-25,8971846275,9788971846278,11700,13000,8136,9,158,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2850921&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/285/9/coversum/8971846275_1.jpg,"저마다 고민과 문제를 안고 살아가는 아이들에게 '지금 그대로도 아름답고 건강한 삶'의 일면을 생생하고 유머러스하게 보여주는 책. 모자라면 모자란 대로, 없으면 없는 대로 유쾌하게 살아가는 우리 아이들의 모습을 건강하게 그려낸 동화집이다.",2026-08-13T15:12:05+09:00
어린이,1108,159,385783465,Go Go 카카오프렌즈 역사문화 39 : 칠레 - 세계 역사 문화 체험 학습만화,"김미영 (지은이), 김정한 (그림)",아울북,2026-02-11,K902135150,9791173577581,15210,16900,7357,10,159,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385783465&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/38578/34/coversum/k902135150_1.jpg,"어느덧 서른아홉 번째 여행을 떠나는 카카오프렌즈. 이번 여행지는 남미에서 가장 길쭉한 나라 칠레다. 특이한 지형 때문에 칠레는 사막부터 빙하, 지진이 일어나는 불의 고리까지 다양한 자연 현상을 아우르는 나라다.",2026-08-13T15:12:05+09:00
어린이,1108,160,382416979,초등 핵심 요약 독서 : 고전 문학,"오현선 (지은이), 민그림 (그림)",메가스터디북스,2026-01-11,K542034620,9791129716279,15300,17000,7534,10,160,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382416979&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/38241/69/coversum/s642137989_1.jpg,"2025년 교육 과정에서 논서술형 비중이 확대되며 고전 문학의 중요성이 커지고 있다. 방대한 분량과 낯선 어휘로 부담이 되는 고전을, 중학생이 되기 전 꼭 읽어야 할 필수 작품 30편으로 압축해 하루 한 작품씩 한 달 완성을 목표로 구성했다.",2026-08-13T15:12:05+09:00
어린이,1108,161,209140648,고래를 삼킨 바다 쓰레기,"유다정 (지은이), 이광익 (그림), 이종명 (감수)",와이즈만BOOKs(와이즈만북스),2019-09-23,K872636076,9791187513827,10800,12000,7150,10,161,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=209140648&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/20914/6/coversum/k872636076_1.jpg,"와이즈만 환경과학 그림책 14권. 바다 쓰레기가 어떻게 생태계를 황폐화시키는지, 우리 인간에게 어떻게 위협이 되는지, 또 쓰레기를 줄이기 위해서 어떤 노력이 필요한지 쉽게 보여준다. 어린이가 이해하기 쉽게 친절한 설명과 개성 있는 그림으로 최신 환경 이슈를 담아냈다.",2026-08-13T15:12:05+09:00
어린이,1108,162,371989999,"신상문구점 - 2026 원북원부산 올해의 책 선정, 2026 김해시 올해의 책 선정",김선영 (지은이),특별한서재,2025-09-18,K872031395,9791167031754,12600,14000,7398,10,162,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371989999&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/37198/99/coversum/s752034864_1.jpg,100쇄 돌파 『시간을 파는 상점』 김선영 작가의 『신상문구점』이 출간됐다. 『시간을 파는 상점』 세 번째 이야기 이후 오랜만의 신간이다. 김선영 작가는 글을 쓰는 동안 영원히 자랄 것 같지 않은 어린 자신을 불러내 위로하는 시간이었다고 한다.,2026-08-13T15:12:05+09:00
